timestamp,coin,open,close,high,low,volume,datetime
1606780800000,RBT,17888,17710,17899,17710,0.023504539999999997,2020-12-01 00:00:00
1606791600000,RBT,19254,17716,19254,17716,0.010253439999999999,2020-12-01 03:00:00
1606802400000,RBT,17754,19380,19400,17734,0.02223986,2020-12-01 06:00:00
1606813200000,RBT,19800,18520,19800,18520,0.0024735499999999997,2020-12-01 09:00:00
1606834800000,RBT,18051,18943,18943,18051,0.011867589999999999,2020-12-01 15:00:00
1606845600000,RBT,18518,18518,18518,18518,0.01122776,2020-12-01 18:00:00
1606867200000,RBT,18518,18517,18518,18517,0.02245615,2020-12-02 00:00:00
1606878000000,RBT,18522,17811,18522,17805,0.0336921,2020-12-02 03:00:00
1606986000000,RBT,19341,18286,19341,18286,0.00268184,2020-12-03 09:00:00
1607385600000,RBT,19034,19034,19034,19034,0.00213121,2020-12-08 00:00:00
1607396400000,RBT,19063,19063,19063,19063,0.00020209,2020-12-08 03:00:00
1607623200000,RBT,17153,17153,17153,17153,0.000299,2020-12-10 18:00:00
1607634000000,RBT,16405,16405,16405,16405,0.0002,2020-12-10 21:00:00
1607677200000,RBT,18000,17500,18000,17500,0.00294261,2020-12-11 09:00:00
1607796000000,RBT,18499,18106,19000,17789,0.0091255,2020-12-12 18:00:00
1607806800000,RBT,18832,18872,19000,18317,0.0064171,2020-12-12 21:00:00
1607817600000,RBT,19000,18167,19077,17824,0.00352332,2020-12-13 00:00:00
1607839200000,RBT,19333,19333,19333,19333,0.00252,2020-12-13 06:00:00
1608120000000,RBT,19780,19358,20660,19104,0.00844377,2020-12-16 12:00:00
1608130800000,RBT,20660,20660,20660,20660,5.91e-06,2020-12-16 15:00:00
1608195600000,RBT,23342,21399,23342,21399,0.00277087,2020-12-17 09:00:00
1608282000000,RBT,22963,22149,22963,22149,0.0067888900000000005,2020-12-18 09:00:00
1608595200000,RBT,21702,21572,23271,21572,0.1208416,2020-12-22 00:00:00
1608627600000,RBT,21629,22201,22201,21292,0.04171403,2020-12-22 09:00:00
1608638400000,RBT,22000,22000,22000,22000,0.00053903,2020-12-22 12:00:00
1608649200000,RBT,23150,23150,23150,23150,0.01,2020-12-22 15:00:00
1608660000000,RBT,22750,22750,22750,22750,0.00066473,2020-12-22 18:00:00
