timestamp,coin,open,close,high,low,volume,datetime
1610236800000,KNC,1.1921,1.1921,1.1921,1.1921,400.0,2021-01-10 00:00:00
1610237100000,KNC,1.2061,1.1946,1.2061,1.1946,69.21313631999999,2021-01-10 00:05:00
1610241600000,KNC,1.2155,1.2181,1.2181,1.2155,200.0,2021-01-10 01:20:00
1610243400000,KNC,1.2033,1.2058,1.2058,1.2033,5003.63502462,2021-01-10 01:50:00
1610243700000,KNC,1.2053,1.2119,1.2119,1.2053,1402.5653757,2021-01-10 01:55:00
1610244600000,KNC,1.2058,1.2058,1.2058,1.2058,300.0,2021-01-10 02:10:00
1610245200000,KNC,1.2059,1.2059,1.2059,1.2059,37.0,2021-01-10 02:20:00
1610246100000,KNC,1.1979,1.1979,1.1979,1.1979,3.97351592,2021-01-10 02:35:00
1610248200000,KNC,1.2075,1.2075,1.2075,1.2075,336.86104486,2021-01-10 03:10:00
1610257200000,KNC,1.2262,1.2262,1.2262,1.2262,10.0,2021-01-10 05:40:00
1610258100000,KNC,1.2155,1.2155,1.2155,1.2155,50.0,2021-01-10 05:55:00
1610259300000,KNC,1.2211,1.2211,1.2211,1.2211,139.64194931,2021-01-10 06:15:00
1610262000000,KNC,1.2514,1.2514,1.2514,1.2514,2.4,2021-01-10 07:00:00
1610262600000,KNC,1.2485,1.249,1.249,1.2485,10.50757789,2021-01-10 07:10:00
1610266500000,KNC,1.2526,1.2526,1.2526,1.2526,93.58954179,2021-01-10 08:15:00
1610267100000,KNC,1.2754,1.28,1.28,1.2754,126.41639973,2021-01-10 08:25:00
1610267400000,KNC,1.28,1.2797,1.28,1.2797,1417.21360557,2021-01-10 08:30:00
1610267700000,KNC,1.2705,1.2705,1.2705,1.2705,2.61632281,2021-01-10 08:35:00
1610268300000,KNC,1.2797,1.2799,1.2799,1.2797,816.0,2021-01-10 08:45:00
1610268600000,KNC,1.2842,1.2842,1.2842,1.2842,221.0,2021-01-10 08:50:00
1610269200000,KNC,1.275,1.275,1.275,1.275,4.65466127,2021-01-10 09:00:00
1610269500000,KNC,1.28,1.2803,1.2803,1.28,104.06238748,2021-01-10 09:05:00
1610270100000,KNC,1.277,1.2761,1.277,1.2761,200.0,2021-01-10 09:15:00
1610270400000,KNC,1.2728,1.2728,1.2728,1.2728,125.1467,2021-01-10 09:20:00
1610270700000,KNC,1.2594,1.2594,1.2594,1.2594,4.83682034,2021-01-10 09:25:00
1610271600000,KNC,1.251,1.251,1.251,1.251,213.0,2021-01-10 09:40:00
1610272500000,KNC,1.2337,1.2337,1.2337,1.2337,540.6469999999999,2021-01-10 09:55:00
1610272800000,KNC,1.2157,1.2157,1.2157,1.2157,848.65006165,2021-01-10 10:00:00
1610273100000,KNC,1.226,1.2257,1.226,1.2257,993.9964678,2021-01-10 10:05:00
1610273700000,KNC,1.2257,1.2236,1.2257,1.2236,874.215972,2021-01-10 10:15:00
1610274000000,KNC,1.1978,1.1888,1.1978,1.1888,4310.71982133,2021-01-10 10:20:00
1610274900000,KNC,1.1688,1.1688,1.1688,1.1688,2294.3,2021-01-10 10:35:00
1610276400000,KNC,1.1729,1.1729,1.1729,1.1729,6.14557021,2021-01-10 11:00:00
1610277000000,KNC,1.1824,1.1824,1.1824,1.1824,367.51415,2021-01-10 11:10:00
1610277900000,KNC,1.1962,1.1948,1.1962,1.1948,433.0,2021-01-10 11:25:00
1610278200000,KNC,1.1793,1.1842,1.1842,1.1793,448.48738981,2021-01-10 11:30:00
1610278500000,KNC,1.1982,1.1913,1.1982,1.1913,50.59474987,2021-01-10 11:35:00
1610278800000,KNC,1.1602,1.1602,1.1602,1.1602,7.90615722,2021-01-10 11:40:00
1610279100000,KNC,1.1662,1.1722,1.1789,1.1662,1441.52079339,2021-01-10 11:45:00
1610279700000,KNC,1.1796,1.1796,1.1796,1.1796,4.51733414,2021-01-10 11:55:00
1610280000000,KNC,1.1667,1.1682,1.1682,1.1667,1000.0,2021-01-10 12:00:00
1610280300000,KNC,1.1706,1.1553,1.1706,1.1553,457.52467756,2021-01-10 12:05:00
1610283300000,KNC,1.2027,1.2027,1.2027,1.2027,250.0,2021-01-10 12:55:00
1610283600000,KNC,1.194,1.194,1.194,1.194,12.28085937,2021-01-10 13:00:00
1610285100000,KNC,1.2076,1.2076,1.2076,1.2076,6.01280703,2021-01-10 13:25:00
1610285700000,KNC,1.1883,1.1883,1.1883,1.1883,3.39558009,2021-01-10 13:35:00
1610287800000,KNC,1.1749,1.1749,1.1749,1.1749,1178.18496604,2021-01-10 14:10:00
1610288100000,KNC,1.1749,1.1749,1.1749,1.1749,3256.81503396,2021-01-10 14:15:00
1610288400000,KNC,1.1813,1.1813,1.1813,1.1813,3.45525654,2021-01-10 14:20:00
1610288700000,KNC,1.1813,1.1813,1.1813,1.1813,367.28430346,2021-01-10 14:25:00
1610289300000,KNC,1.1755,1.1755,1.1755,1.1755,29.39294884,2021-01-10 14:35:00
1610289600000,KNC,1.1754,1.173,1.1754,1.173,1246.65481154,2021-01-10 14:40:00
1610290200000,KNC,1.1676,1.1676,1.1676,1.1676,186.0,2021-01-10 14:50:00
1610290500000,KNC,1.1585,1.1731,1.1731,1.1556,1815.0459802,2021-01-10 14:55:00
1610290800000,KNC,1.1495,1.1588,1.1588,1.1495,459.52464277,2021-01-10 15:00:00
1610291100000,KNC,1.1548,1.1453,1.1548,1.1453,385.26093033,2021-01-10 15:05:00
1610291400000,KNC,1.1427,1.1603,1.1603,1.1427,200.33579428,2021-01-10 15:10:00
1610291700000,KNC,1.1542,1.1542,1.1542,1.1542,4.77873172,2021-01-10 15:15:00
1610294100000,KNC,1.1722,1.1722,1.1722,1.1722,2.33970532,2021-01-10 15:55:00
1610294700000,KNC,1.1726,1.1726,1.1726,1.1726,3.14975992,2021-01-10 16:05:00
1610296200000,KNC,1.1632,1.1671,1.1671,1.1632,100.0,2021-01-10 16:30:00
1610298000000,KNC,1.1392,1.1392,1.1392,1.1392,908.11559187,2021-01-10 17:00:00
