timestamp,coin,open,close,high,low,volume,datetime
1612515600000,AAVE,499.87,504.84,504.84,499.61,4.11582674,2021-02-05 09:00:00
1612517400000,AAVE,502.95,490.0,506.48,490.0,64.186103,2021-02-05 09:30:00
1612519200000,AAVE,499.69,502.89,502.89,494.32,3.61660918,2021-02-05 10:00:00
1612521000000,AAVE,499.0,492.62,499.0,490.14,2.01612999,2021-02-05 10:30:00
1612522800000,AAVE,494.52,491.5,494.52,490.0,15.67845563,2021-02-05 11:00:00
1612524600000,AAVE,491.56,495.06,495.06,487.5,9.72625198,2021-02-05 11:30:00
1612526400000,AAVE,494.76,500.44,500.44,492.1,10.71517908,2021-02-05 12:00:00
1612528200000,AAVE,500.4,499.55,502.34,497.1,8.61518588,2021-02-05 12:30:00
1612530000000,AAVE,500.46,514.05,518.92,500.46,17.04162165,2021-02-05 13:00:00
1612531800000,AAVE,515.15,525.71,533.68,507.93,83.45472849,2021-02-05 13:30:00
1612533600000,AAVE,529.57,530.77,543.44,521.81,100.08432061,2021-02-05 14:00:00
1612535400000,AAVE,531.8,531.93,537.9,526.11,28.63401547,2021-02-05 14:30:00
1612537200000,AAVE,534.61,534.0,537.28,526.23,20.04578898,2021-02-05 15:00:00
1612539000000,AAVE,533.77,530.87,561.35,530.0,52.92609876,2021-02-05 15:30:00
1612540800000,AAVE,531.25,530.18,533.2,527.57,4.50662726,2021-02-05 16:00:00
1612542600000,AAVE,525.01,519.2,525.01,510.08,15.30966802,2021-02-05 16:30:00
1612544400000,AAVE,510.79,512.15,514.13,510.79,0.00361927,2021-02-05 17:00:00
1612546200000,AAVE,510.0,515.58,515.77,510.0,2.07717323,2021-02-05 17:30:00
1612548000000,AAVE,512.64,510.9,515.84,510.9,0.06596945,2021-02-05 18:00:00
1612549800000,AAVE,512.73,500.0,516.26,500.0,4.52325805,2021-02-05 18:30:00
1612551600000,AAVE,503.9,508.2,509.04,502.43,1.01620759,2021-02-05 19:00:00
1612553400000,AAVE,513.73,518.96,518.96,513.4,1.25348143,2021-02-05 19:30:00
1612555200000,AAVE,513.5,520.78,520.78,511.81,0.10724476000000001,2021-02-05 20:00:00
1612557000000,AAVE,522.25,526.23,527.15,521.66,4.54185026,2021-02-05 20:30:00
1612558800000,AAVE,518.49,518.87,524.26,513.22,0.6390713699999999,2021-02-05 21:00:00
1612560600000,AAVE,513.24,526.53,573.33,513.24,42.11752234,2021-02-05 21:30:00
1612562400000,AAVE,525.14,511.42,530.0,511.42,125.57423438000001,2021-02-05 22:00:00
1612564200000,AAVE,515.52,505.0,515.52,505.0,7.96524864,2021-02-05 22:30:00
1612566000000,AAVE,504.76,509.15,509.15,504.76,10.01166737,2021-02-05 23:00:00
1612567800000,AAVE,505.14,506.64,506.64,500.0,11.356539830000001,2021-02-05 23:30:00
1612569600000,AAVE,508.83,505.35,510.81,503.19,16.3646052,2021-02-06 00:00:00
1612571400000,AAVE,504.99,510.09,510.52,504.99,8.67719315,2021-02-06 00:30:00
1612573200000,AAVE,506.02,495.5,507.55,495.0,25.471250610000002,2021-02-06 01:00:00
